loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,approved,log_residential_assets_value,log_loan_amount,dep_cat
30,3, Not Graduate, Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1,16.897420573630875,17.265498135541893,2_to_3_dep
31,2, Not Graduate, No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,0,16.821193211876384,17.04631499322344,2_to_3_dep
32,2, Graduate, No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,0,15.096444681204078,16.300417291085605,2_to_3_dep
33,1, Not Graduate, Yes,800000,1600000,10,436,700000,200000,2200000,1000000,0,13.45883704259595,14.285514812209815,1_dep
34,5, Not Graduate, Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1,15.150511887854474,16.906553056777135,more_than_3_dep
35,3, Graduate, No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,1,16.08763654656639,16.29204904211537,2_to_3_dep
36,2, Graduate, Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,1,14.80876270134486,15.039286283703994,2_to_3_dep
37,3, Not Graduate, No,1600000,6200000,18,636,3400000,700000,5300000,1400000,1,15.039286283703994,15.64006001130563,2_to_3_dep
38,5, Graduate, Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,0,15.671808704579888,17.11872756803093,more_than_3_dep
39,5, Graduate, No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1,15.76142084987672,15.856731016694035,more_than_3_dep
40,3, Not Graduate, Yes,1500000,5100000,6,352,100000,200000,5600000,900000,0,11.51293546492023,15.444751293772967,2_to_3_dep
41,1, Graduate, No,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1,15.967272877502799,16.71142255148467,1_dep
42,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1,16.920097281273396,17.030378401595577,2_to_3_dep
43,3, Graduate, No,1400000,3400000,6,540,200000,1500000,3900000,800000,0,12.206077645517674,15.039286283703994,2_to_3_dep
44,2, Graduate, Yes,800000,2300000,12,342,2200000,1300000,1800000,800000,0,14.603968372873895,14.648420115681892,2_to_3_dep
45,5, Graduate, No,6500000,13400000,18,787,18200000,300000,16200000,5400000,1,16.716932206992077,16.410765339548004,more_than_3_dep
46,4, Graduate, No,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0,16.380459992348886,17.140546614632086,more_than_3_dep
47,3, Not Graduate, Yes,4200000,14600000,6,679,2400000,6900000,8700000,4900000,1,14.690979711984754,16.496532155171714,2_to_3_dep
48,1, Graduate, Yes,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1,15.501909696719672,16.765198945372877,1_dep
49,3, Not Graduate, No,5500000,20500000,12,634,800000,8600000,18500000,8200000,1,13.592368256649284,16.835935492889124,2_to_3_dep
50,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,1,11.51293546492023,16.765198945372877,1_dep
51,4, Graduate, No,7300000,25400000,16,502,500000,1800000,20500000,10500000,0,13.122365377402328,17.050259771358842,more_than_3_dep
52,2, Graduate, No,8700000,24700000,10,435,6800000,3500000,21800000,11300000,0,15.732433317205148,17.022313842084035,2_to_3_dep
53,5, Not Graduate, No,3800000,7600000,4,689,8700000,100000,9300000,3400000,1,15.978833698567334,15.843658936835498,more_than_3_dep
54,1, Not Graduate, Yes,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1,16.54987813231892,16.951004817371683,1_dep
55,2, Graduate, Yes,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1,15.816990693309524,16.796129244469636,2_to_3_dep
56,5, Not Graduate, No,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1,13.997832948091215,17.01418371633128,more_than_3_dep
57,2, Not Graduate, No,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0,14.557448378884015,16.176364653421913,2_to_3_dep
58,5, Graduate, Yes,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1,16.775615705688583,17.233237274364523,more_than_3_dep
59,1, Graduate, No,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0,16.733281344102608,16.72786127692704,1_dep
60,4, Not Graduate, Yes,5500000,18200000,16,797,0,4900000,18600000,4800000,1,0.0,16.716932206992077,more_than_3_dep
61,2, Not Graduate, No,8500000,18900000,18,478,23800000,16300000,25900000,11400000,0,16.98519618065851,16.75467253293992,2_to_3_dep
62,3, Not Graduate, Yes,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1,15.363073279446223,17.233237274364523,2_to_3_dep
63,5, Not Graduate, Yes,8800000,28900000,6,365,24400000,8600000,27400000,4700000,0,17.010093731247036,17.179352187684735,more_than_3_dep
64,3, Not Graduate, Yes,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1,14.285514812209815,15.830413711839864,2_to_3_dep
65,4, Graduate, Yes,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1,15.843658936835498,16.325109901643454,more_than_3_dep
66,1, Graduate, No,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0,16.066802461833923,16.14765455028724,1_dep
67,3, Not Graduate, No,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1,15.623799493077952,17.186248766505983,2_to_3_dep
68,0, Not Graduate, Yes,2700000,10100000,20,693,200000,1700000,5900000,1400000,0,12.206077645517674,16.128046080821385,no_dep
69,4, Graduate, No,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1,15.520258832020865,16.333207111220425,more_than_3_dep
70,0, Graduate, No,1900000,5000000,12,312,4000000,2800000,4900000,2400000,0,15.201805169084134,15.424948670398354,no_dep
71,4, Not Graduate, Yes,500000,1500000,20,340,100000,200000,1900000,600000,0,11.51293546492023,14.220976332738882,more_than_3_dep
72,5, Graduate, Yes,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1,14.80876270134486,16.73867219244687,more_than_3_dep
73,5, Not Graduate, No,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0,16.72786127692704,16.722411672456456,more_than_3_dep
74,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,1,15.176487367510099,16.630919337267223,2_to_3_dep
75,2, Not Graduate, No,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0,15.687312888712007,15.943742382861155,2_to_3_dep
76,2, Not Graduate, No,1900000,6500000,18,671,600000,2500000,4800000,1100000,1,13.304686600863562,15.687312888712007,2_to_3_dep
77,4, Graduate, No,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1,16.475770165160203,16.51013780630191,more_than_3_dep
78,0, Graduate, No,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1,16.266515742283485,17.32705602664604,no_dep
79,2, Not Graduate, No,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1,16.68340951682656,17.196505266322514,2_to_3_dep
80,0, Not Graduate, No,700000,1400000,14,639,1900000,700000,2400000,900000,1,14.45736497045232,14.151983508870947,no_dep
81,4, Graduate, No,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0,14.077875591662238,16.001561947061912,more_than_3_dep
82,0, Not Graduate, No,8800000,31200000,4,826,2900000,500000,33300000,8600000,1,14.88022163978423,17.25592868483099,no_dep
83,2, Not Graduate, Yes,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0,17.05418904934434,16.86951178681205,2_to_3_dep
84,3, Graduate, No,3600000,8600000,20,613,9400000,300000,10300000,3300000,1,16.056220353623207,15.967272877502799,2_to_3_dep
85,3, Not Graduate, Yes,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1,15.483217567201578,15.919644834185693,2_to_3_dep
86,2, Graduate, No,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0,16.65458907995242,16.86951178681205,2_to_3_dep
87,5, Not Graduate, Yes,1100000,3800000,18,387,1300000,1200000,3800000,1600000,0,14.077875591662238,15.150511887854474,more_than_3_dep
88,1, Not Graduate, Yes,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0,16.83104550783405,17.158372397949154,1_dep
89,4, Graduate, Yes,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1,15.444751293772967,15.894952224644102,more_than_3_dep
90,2, Not Graduate, No,9800000,37600000,10,641,24100000,0,23400000,7600000,1,16.997722439954657,17.442514634955867,2_to_3_dep
91,4, Graduate, No,5700000,21100000,18,489,500000,4300000,12500000,6000000,0,13.122365377402328,16.86478364583966,more_than_3_dep
92,4, Graduate, No,8800000,20700000,18,540,19200000,3200000,22400000,12700000,0,16.770420889081343,16.845644306544774,more_than_3_dep
93,4, Graduate, No,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1,16.02378508137718,16.001561947061912,more_than_3_dep
94,1, Graduate, No,1700000,6400000,10,452,900000,1100000,5600000,2100000,0,13.710151153416941,15.671808704579888,1_dep
95,2, Graduate, No,1000000,2000000,10,366,1200000,400000,3200000,1300000,0,13.997832948091215,14.508658238524095,2_to_3_dep
96,5, Graduate, No,300000,1100000,2,300,100000,500000,700000,400000,1,11.51293546492023,13.910821646859095,more_than_3_dep
97,2, Graduate, Yes,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0,13.997832948091215,16.52356082573315,2_to_3_dep
98,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1,16.503358119776173,17.034386422832473,2_to_3_dep
99,4, Graduate, No,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1,17.069753565279804,17.196505266322514,more_than_3_dep
100,0, Graduate, No,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0,14.690979711984754,16.195056784687036,no_dep
101,4, Not Graduate, No,400000,900000,12,478,700000,100000,1200000,100000,0,13.45883704259595,13.710151153416941,more_than_3_dep
102,2, Not Graduate, Yes,300000,1100000,2,702,300000,200000,500000,200000,1,12.611541086966115,13.910821646859095,2_to_3_dep
103,2, Not Graduate, Yes,4300000,12900000,20,618,11400000,3600000,11400000,2400000,1,16.249124001084017,16.372737946851277,2_to_3_dep
104,4, Graduate, No,1600000,4500000,12,633,700000,1700000,4100000,1900000,1,13.45883704259595,15.319588176962746,more_than_3_dep
105,5, Not Graduate, Yes,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0,16.733281344102608,16.97675731236872,more_than_3_dep
106,3, Not Graduate, Yes,4200000,9700000,16,841,7800000,300000,16700000,5100000,1,15.86963441986494,16.08763654656639,2_to_3_dep
107,4, Not Graduate, Yes,9000000,18100000,12,764,600000,16500000,20800000,11600000,1,13.304686600863562,16.71142255148467,more_than_3_dep
108,0, Graduate, No,2700000,10600000,6,591,1300000,2700000,9900000,1800000,1,14.077875591662238,16.176364653421913,no_dep
109,1, Graduate, Yes,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1,16.791040175221152,17.39624788131366,1_dep
110,2, Graduate, No,3300000,6800000,14,317,3400000,300000,11700000,3600000,0,15.039286283703994,15.732433317205148,2_to_3_dep
111,0, Not Graduate, No,300000,1100000,8,778,800000,200000,900000,100000,1,13.592368256649284,13.910821646859095,no_dep
112,3, Graduate, Yes,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0,15.53827733427679,16.716932206992077,2_to_3_dep
113,5, Not Graduate, No,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0,15.803385043104912,16.796129244469636,more_than_3_dep
114,5, Not Graduate, Yes,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1,16.785925074816024,16.91108821173685,more_than_3_dep
115,1, Not Graduate, No,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0,16.54987813231892,16.96824662306297,1_dep
116,0, Not Graduate, Yes,3300000,10800000,12,797,600000,6000000,7700000,3300000,1,13.304686600863562,16.195056784687036,no_dep
117,4, Not Graduate, Yes,5800000,23200000,18,456,16100000,4200000,22600000,7500000,0,16.59432989206649,16.959662879739987,more_than_3_dep
118,0, Not Graduate, No,600000,1600000,6,647,1500000,600000,1500000,700000,1,14.220976332738882,14.285514812209815,no_dep
119,0, Not Graduate, No,7200000,15800000,12,379,12700000,12200000,21500000,3600000,0,16.357112630168974,16.575520561288332,no_dep
120,1, Not Graduate, Yes,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1,14.603968372873895,17.308983246130737,1_dep
121,5, Graduate, No,900000,2300000,16,545,100000,200000,2700000,800000,0,11.51293546492023,14.648420115681892,more_than_3_dep
122,2, Graduate, No,800000,3200000,8,317,300000,1000000,2000000,900000,0,12.611541086966115,14.978661680269907,2_to_3_dep
123,1, Not Graduate, No,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1,15.444751293772967,17.308983246130737,1_dep
124,0, Not Graduate, Yes,9000000,18700000,18,865,26800000,0,20900000,11300000,1,17.103912482794517,16.74403413530075,no_dep
125,3, Graduate, No,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1,16.316946591670696,16.785925074816024,2_to_3_dep
126,3, Graduate, No,200000,600000,16,821,400000,100000,500000,100000,1,12.899222326086994,13.304686600863562,2_to_3_dep
127,4, Not Graduate, Yes,400000,800000,10,859,900000,500000,800000,200000,1,13.710151153416941,13.592368256649284,more_than_3_dep
128,3, Not Graduate, No,5100000,18200000,10,395,100000,8000000,15500000,6300000,0,11.51293546492023,16.716932206992077,2_to_3_dep
129,2, Not Graduate, Yes,700000,2600000,12,429,1600000,1300000,2700000,800000,0,14.285514812209815,14.77102238760702,2_to_3_dep
130,3, Graduate, No,400000,1200000,12,861,200000,600000,1100000,200000,1,12.206077645517674,13.997832948091215,2_to_3_dep
131,0, Not Graduate, Yes,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1,16.530205368010318,16.85046359274847,no_dep
132,5, Graduate, No,8800000,22600000,10,357,7900000,8600000,18200000,4900000,0,15.882373444019521,16.933460508490302,more_than_3_dep
133,3, Not Graduate, Yes,1800000,3600000,18,465,600000,500000,5400000,2600000,0,13.304686600863562,15.096444681204078,2_to_3_dep
134,4, Not Graduate, Yes,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0,16.275099485238066,16.447399470043365,more_than_3_dep
135,3, Not Graduate, No,1500000,5500000,16,717,2100000,800000,4400000,1300000,1,14.557448378884015,15.520258832020865,2_to_3_dep
136,3, Graduate, No,1600000,5500000,12,425,600000,800000,5400000,900000,0,13.304686600863562,15.520258832020865,2_to_3_dep
137,2, Not Graduate, No,4600000,16700000,2,786,200000,5900000,13900000,6100000,1,12.206077645517674,16.630919337267223,2_to_3_dep
138,5, Not Graduate, Yes,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0,15.29711532616119,15.717618233614914,more_than_3_dep
139,3, Not Graduate, Yes,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1,13.815511557963774,15.955576839107596,2_to_3_dep
140,0, Graduate, No,200000,700000,8,501,500000,200000,700000,100000,0,13.122365377402328,13.45883704259595,no_dep
141,2, Not Graduate, Yes,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,15.702580358511794,16.056220353623207,2_to_3_dep
142,4, Not Graduate, No,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1,13.910821646859095,15.830413711839864,more_than_3_dep
143,0, Graduate, Yes,5500000,16700000,18,829,5500000,1300000,12800000,5900000,1,15.520258832020865,16.630919337267223,no_dep
144,4, Not Graduate, No,6600000,17400000,20,506,2600000,10000000,25900000,7200000,0,14.77102238760702,16.67198082165602,more_than_3_dep
145,2, Graduate, Yes,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1,16.056220353623207,17.284366619252893,2_to_3_dep
146,5, Not Graduate, No,600000,1500000,14,543,300000,900000,2100000,300000,0,12.611541086966115,14.220976332738882,more_than_3_dep
147,3, Graduate, Yes,1400000,3200000,20,772,2400000,900000,5100000,1600000,1,14.690979711984754,14.978661680269907,2_to_3_dep
148,3, Graduate, No,4000000,11100000,12,572,9700000,100000,12500000,2400000,1,16.08763654656639,16.22245575637265,2_to_3_dep
149,0, Not Graduate, Yes,4900000,11900000,16,709,14600000,900000,18500000,3800000,1,16.496532155171714,16.29204904211537,no_dep
150,5, Graduate, No,2000000,6200000,18,402,4000000,2100000,7200000,1100000,0,15.201805169084134,15.64006001130563,more_than_3_dep
151,1, Not Graduate, Yes,5200000,19300000,8,481,14300000,9500000,18800000,4200000,0,16.475770165160203,16.775615705688583,1_dep
152,5, Graduate, Yes,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1,16.42558042423569,17.175885979828397,more_than_3_dep
153,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1,16.58182973008354,16.840801682303496,1_dep
154,2, Not Graduate, No,1300000,4500000,6,415,0,900000,2900000,1200000,0,0.0,15.319588176962746,2_to_3_dep
155,3, Not Graduate, No,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0,16.716932206992077,17.370858648025116,2_to_3_dep
156,5, Not Graduate, No,5000000,11200000,8,701,9100000,500000,14000000,4600000,1,16.02378508137718,16.231424425551033,more_than_3_dep
157,2, Graduate, No,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1,15.363073279446223,15.856731016694035,2_to_3_dep
158,5, Not Graduate, Yes,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0,15.483217567201578,17.3210679849807,more_than_3_dep
159,5, Graduate, Yes,700000,1300000,20,704,1600000,0,2200000,600000,1,14.285514812209815,14.077875591662238,more_than_3_dep
160,3, Graduate, Yes,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0,14.220976332738882,16.176364653421913,2_to_3_dep
161,5, Not Graduate, No,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1,15.573368647930426,16.077273760604726,more_than_3_dep
162,4, Not Graduate, No,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1,15.123843647884687,16.530205368010318,more_than_3_dep
163,3, Not Graduate, No,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0,17.001863232449228,16.840801682303496,2_to_3_dep
164,2, Not Graduate, Yes,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1,15.404745967162468,15.483217567201578,2_to_3_dep
165,2, Graduate, Yes,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1,16.920097281273396,16.920097281273396,2_to_3_dep
166,0, Not Graduate, No,5700000,15900000,16,638,100000,9500000,16300000,4500000,1,11.51293546492023,16.58182973008354,no_dep
167,4, Not Graduate, No,5800000,12800000,2,656,500000,5000000,16000000,2800000,1,13.122365377402328,16.36495580701484,more_than_3_dep
168,1, Graduate, No,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0,14.731801689838349,15.687312888712007,1_dep
169,4, Not Graduate, Yes,9100000,35200000,6,341,1000000,300000,23100000,8200000,0,13.815511557963774,17.376556668977415,more_than_3_dep
170,0, Not Graduate, Yes,4800000,17500000,2,371,11700000,6800000,18700000,3500000,1,16.275099485238066,16.677711496036597,no_dep
171,3, Not Graduate, Yes,3800000,10500000,12,886,4000000,500000,14900000,2300000,1,15.201805169084134,16.166885910365842,2_to_3_dep
172,0, Not Graduate, No,1900000,4100000,18,801,400000,800000,4800000,1200000,1,12.899222326086994,15.226497775576945,no_dep
173,3, Not Graduate, Yes,3600000,9500000,16,748,7700000,2400000,9700000,2600000,1,15.856731016694035,16.066802461833923,2_to_3_dep
174,2, Not Graduate, Yes,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0,16.90199724044883,17.154832571369333,2_to_3_dep
175,4, Not Graduate, Yes,6600000,14300000,8,371,10800000,9500000,18500000,7400000,0,16.195056784687036,16.475770165160203,more_than_3_dep
176,2, Graduate, No,1800000,5300000,6,826,4500000,700000,6500000,1300000,1,15.319588176962746,15.483217567201578,2_to_3_dep
177,4, Not Graduate, No,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1,15.319588176962746,17.11872756803093,more_than_3_dep
178,5, Not Graduate, Yes,2400000,8600000,8,309,500000,600000,5700000,2800000,0,13.122365377402328,15.967272877502799,more_than_3_dep
179,4, Not Graduate, No,5600000,13300000,20,869,3300000,7500000,20000000,6500000,1,15.009433329466965,16.40327466837995,more_than_3_dep
180,5, Graduate, No,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0,15.363073279446223,16.447399470043365,more_than_3_dep
181,3, Not Graduate, Yes,4500000,17900000,6,787,9800000,3600000,14300000,4200000,1,16.097893045681612,16.700311326676903,2_to_3_dep
182,0, Graduate, Yes,900000,2200000,16,566,100000,700000,2000000,600000,1,11.51293546492023,14.603968372873895,no_dep
183,0, Not Graduate, No,2800000,9900000,8,742,4900000,1300000,6700000,1700000,1,15.404745967162468,16.108045416114916,no_dep
184,2, Not Graduate, No,7500000,23100000,4,824,12100000,10900000,26300000,9500000,1,16.308716093211594,16.955343218782065,2_to_3_dep
185,4, Graduate, No,1400000,3100000,14,575,3000000,2100000,4900000,1400000,1,14.914123179965662,14.946912992035967,more_than_3_dep
186,2, Graduate, Yes,3800000,10900000,10,766,1900000,3900000,8600000,3000000,1,14.45736497045232,16.204273438942487,2_to_3_dep
187,1, Not Graduate, Yes,1700000,5000000,10,888,2900000,900000,4100000,2200000,1,14.88022163978423,15.424948670398354,1_dep
188,3, Graduate, Yes,9000000,30400000,6,638,16800000,11000000,26900000,9200000,1,16.636889503897294,17.229953199271186,2_to_3_dep
189,5, Not Graduate, Yes,7300000,23300000,6,622,7100000,11600000,26400000,10500000,1,15.775605482856605,16.963963961454382,more_than_3_dep
190,1, Not Graduate, No,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0,16.349207451286784,16.801192546169812,1_dep
191,1, Not Graduate, No,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0,14.346139397261565,17.154832571369333,1_dep
192,0, Not Graduate, No,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1,15.990262393084793,15.687312888712007,no_dep
193,1, Graduate, No,800000,2900000,8,682,2200000,1100000,2900000,700000,1,14.603968372873895,14.88022163978423,1_dep
194,2, Graduate, No,4800000,13200000,2,583,13700000,5800000,9500000,5200000,1,16.432906463791053,16.395727463314174,2_to_3_dep
195,5, Not Graduate, No,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1,16.118095750958314,16.722411672456456,more_than_3_dep
196,3, Graduate, No,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0,15.573368647930426,17.115044322750297,2_to_3_dep
197,4, Not Graduate, Yes,400000,1500000,2,669,0,600000,900000,500000,1,0.0,14.220976332738882,more_than_3_dep
198,2, Not Graduate, No,2800000,6000000,18,816,6300000,4200000,8000000,3400000,1,15.656060350091908,15.607270193858982,2_to_3_dep
199,4, Not Graduate, Yes,8500000,28900000,20,455,15200000,5800000,22500000,9400000,0,16.536806051605975,17.179352187684735,more_than_3_dep
200,3, Graduate, Yes,4700000,16400000,10,318,11400000,8100000,16200000,4300000,0,16.249124001084017,16.612791953770035,2_to_3_dep
201,4, Not Graduate, Yes,9800000,21200000,20,355,22000000,8900000,31800000,14400000,0,16.906553056777135,16.86951178681205,more_than_3_dep
202,2, Not Graduate, Yes,3800000,8900000,16,389,200000,5600000,12200000,2200000,0,12.206077645517674,16.001561947061912,2_to_3_dep
203,2, Graduate, No,500000,1500000,2,888,1500000,300000,1500000,600000,1,14.220976332738882,14.220976332738882,2_to_3_dep
204,2, Graduate, Yes,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0,16.380459992348886,16.562781536322326,2_to_3_dep
205,4, Not Graduate, Yes,9600000,30100000,12,870,300000,6700000,38200000,5600000,1,12.611541086966115,17.220035762941695,more_than_3_dep
206,3, Not Graduate, No,2900000,6500000,18,827,8300000,600000,10400000,3200000,1,15.931766193248746,15.687312888712007,2_to_3_dep
207,2, Graduate, No,9800000,20900000,12,768,3400000,10200000,38600000,13400000,1,15.039286283703994,16.855259764781927,2_to_3_dep
208,0, Graduate, No,7100000,15400000,18,707,10300000,10800000,19600000,5800000,1,16.14765455028724,16.54987813231892,no_dep
